id;statuts;date;created_at;utilisateur_id
1;EN_ATTENTE;2023-05-31T03:37:21;2023-05-30T13:18:52;1
2;EN_ATTENTE;2023-05-30T13:11:12;2023-05-30T23:02:04;2
3;EN_ATTENTE;2023-05-30T08:12:36;2023-05-30T20:32:38;3
4;CONFIRMEE;2023-05-31T03:25:04;2023-05-31T01:18:38;4
5;CONFIRMEE;2023-05-30T20:03:25;2023-05-30T10:59:42;5
6;REJETEE;2023-05-30T07:54:59;2023-05-31T00:26:39;6
7;EN_ATTENTE;2023-05-30T20:30:08;2023-05-30T09:08:01;7
8;EN_ATTENTE;2023-05-30T11:30:25;2023-05-30T12:55:16;8
9;CONFIRMEE;2023-05-30T09:19:17;2023-05-30T16:15:32;9
10;CONFIRMEE;2023-05-30T08:55:25;2023-05-31T05:26:16;10
